submission_id,age,cups,where_drink,brew,brew_other,purchase,favorite,additions,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,education_level,employment_status,marital_status,number_children,household_income
MAdxdX,25-34 years old,1,"('At home', 'On the go')","('Pour over', 'French press', 'Espresso', 'Instant coffee')",,"('National chain (e.g. Starbucks / Dunkin)', 'Specialty coffee shop')",Iced coffee,"('Milk, dairy alternative, or coffee creamer',)","('Flavored coffee creamer',)",,Chocolatey,Somewhat light,Light,Full caffeine,5,1,3,4,3,1,5,2,4,3,4,5,1,Coffee B,Coffee A,Coffee B,I primarily work in person,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,$4-$6,No,Less than $20,Yes,Female,Some college or associate's degree,Student,Married,None,"Under $25,000"
6dQByN,25-34 years old,1,"('At home', 'At a cafe')","('Pour over', 'Other')",AeroPress,,Pourover,"('No - just black',)",,,Nutty,Somewhat strong,Medium,Full caffeine,7,1,3,3,2,1,4,3,2,3,1,4,1,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,"('It tastes good', 'Other')","I love the ritual, it brings joy into my every day life.",Yes,Yes,$10-$15,$15-$20,Yes,"More than $1,000",Yes,Female,Bachelor's degree,Unemployed,Living with a partner,None,"$100,000 - $149,999"
dY2y1V,25-34 years old,1,"('At home', 'At a cafe')","('Pour over', 'Other')",Aeropress,,Pourover,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Oat milk',)",,Nutty,Somewhat strong,Medium,Full caffeine,7,5,3,1,2,3,3,4,2,4,2,5,4,Coffee C,Coffee D,Coffee C,I primarily work from home,$40-$60,"('It tastes good', 'I need the ritual')",,Yes,Yes,$10-$15,$15-$20,Yes,"More than $1,000",Yes,Male,Some college or associate's degree,Employed full-time,Living with a partner,None,"$100,000 - $149,999"
42NbAb,>65 years old,4,"('At home',)","('Pour over', 'French press', 'Coffee brewing machine (e.g. Mr. Coffee)', 'Other')",AeroPress,,Regular drip coffee,"('No - just black',)",,,Bold,Somewhat strong,Dark,Full caffeine,5,3,4,2,2,3,4,3,3,4,3,5,2,Coffee B,Coffee A,Coffee B,,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,Yes,Less than $2,$2-$4,No,$300-$500,Yes,Male,Some college or associate's degree,Retired,Married,1,"$100,000 - $149,999"
rlrZlN,35-44 years old,1,"('At home', 'At the office')","('Pod/capsule machine (e.g. Keurig/Nespresso)',)",,,Mocha,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener')","('Coffee creamer', 'Flavored coffee creamer', 'Almond milk')","('Stevia',)",Sweet,Somewhat light,Blonde,Full caffeine,2,1,2,5,3,2,2,2,2,3,4,4,2,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"('It makes me go to the bathroom', 'I need the caffeine', 'I need the ritual')",,No,No,$6-$8,$10-$15,Yes,$20-$50,Yes,Female,Doctorate or professional degree,Employed full-time,Married,None,"$150,000 or more"
VZ16xN,55-64 years old,1,"('At home',)","('Pour over',)",,,Latte,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Chocolatey,Medium,Medium,Full caffeine,5,3,5,3,3,3,4,4,2,2,3,4,4,Coffee B,Coffee D,Coffee D,I primarily work from home,<$20,"('I need the ritual',)",,Yes,No,$4-$6,$4-$6,No,$300-$500,Yes,Male,Bachelor's degree,Employed full-time,Single,None,
OABNdK,35-44 years old,2,"('At home', 'On the go', 'At the office')","('Pour over', 'French press', 'Pod/capsule machine (e.g. Keurig/Nespresso)', 'Coffee extract (e.g. Cometeer)', 'Cold brew')",,"('Deli or supermarket', 'National chain (e.g. Starbucks / Dunkin)', 'Local cafe', 'Specialty coffee shop')",Cortado,"('No - just black',)",,,Nutty,Somewhat strong,Medium,Full caffeine,7,4,3,5,1,4,4,3,2,2,1,5,4,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,"('I need the caffeine', 'It tastes good', 'I need the ritual', 'It makes me go to the bathroom')",,Yes,Yes,$6-$8,$8-$10,No,$500-$1000,Yes,Male,Some college or associate's degree,Employed full-time,Married,None,"$150,000 or more"
VZ16oa,45-54 years old,4,"('At home', 'At a cafe', 'At the office')","('Pour over', 'French press', 'Coffee brewing machine (e.g. Mr. Coffee)', 'Pod/capsule machine (e.g. Keurig/Nespresso)', 'Other')",Aeropress,,Cappuccino,"('No - just black',)",,,Sweet,Somewhat strong,Medium,Full caffeine,8,3,4,2,3,3,4,2,2,4,3,5,1,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,"('I need the caffeine', 'It tastes good', 'I need the ritual')",,Yes,No,$8-$10,$4-$6,No,$500-$1000,Yes,Male,Bachelor's degree,,Married,,
zKQ6zR,25-34 years old,1,"('At the office', 'At home')","('Coffee brewing machine (e.g. Mr. Coffee)',)",,,Regular drip coffee,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener')","('Whole milk',)","('Artificial Sweeteners (e.g. Splenda)',)",Caramalized,Medium,Light,Full caffeine,6,2,4,5,4,3,4,5,2,1,2,5,4,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,$8-$10,Yes,$300-$500,Yes,Female,Bachelor's degree,Employed full-time,Married,None,"$150,000 or more"
NABZJQ,25-34 years old,2,"('At home', 'At the office')","('Other',)",Moka pot and clever dripper,,Americano,"('No - just black',)",,,Floral,Somewhat strong,Light,Full caffeine,5,1,5,5,3,1,2,5,1,1,1,4,4,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,No,$8-$10,$6-$8,No,$300-$500,Yes,Male,Master's degree,Employed full-time,Married,None,"$150,000 or more"
lNlE8N,45-54 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PABqqe,25-34 years old,,"('At a cafe', 'At home')","('Pour over', 'French press', 'Espresso', 'Cold brew')",,,Pourover,"('No - just black',)",,,Fruity,Medium,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ylqa8X,35-44 years old,2,"('At the office', 'At home')","('Pour over', 'Coffee extract (e.g. Cometeer)')",,,Pourover,"('No - just black',)",,,Juicy,Medium,Light,Full caffeine,7,2,4,5,3,2,3,4,2,2,1,3,5,Coffee A,Coffee A,Coffee A,I do a mix of both,<$20,"('It tastes good', 'I need the ritual')",,Yes,Yes,$4-$6,$6-$8,Yes,$300-$500,Yes,Male,Bachelor's degree,Employed full-time,Married,None,"$75,000 - $99,999"
KMBj2X,25-34 years old,2,"('At home', 'At the office')","('Pour over', 'Espresso')",,,Pourover,"('No - just black',)",,,Bright,Somewhat strong,Light,Full caffeine,8,2,4,5,3,3,4,3,2,4,1,5,3,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"('I need the caffeine', 'It tastes good')",,Yes,Yes,$6-$8,$6-$8,No,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
KMBjbA,25-34 years old,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kYRP2R,18-24 years old,1,"('At home',)","('Espresso',)",,,Latte,"('No - just black',)",,,Fruity,Somewhat light,Light,Full caffeine,6,2,4,2,4,1,4,3,2,3,2,3,5,Coffee B,Coffee D,Coffee D,,,,,,,,,,,,,,,,,
jB9VRa,25-34 years old,1,"('At home',)","('Espresso',)",,,Cortado,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Chocolatey,Somewhat strong,Dark,Full caffeine,8,1,2,2,1,1,1,3,2,3,2,3,5,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"('It tastes good', 'I need the ritual', 'I need the caffeine')",,Yes,Yes,$6-$8,$6-$8,No,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Married,None,"$150,000 or more"
aBrMLB,25-34 years old,1,"('At home',)","('Coffee brewing machine (e.g. Mr. Coffee)',)",,,Latte,"('Sugar or sweetener', 'Milk, dairy alternative, or coffee creamer')","('Skim milk',)","('Artificial Sweeteners (e.g. Splenda)',)",Fruity,Somewhat light,Light,Full caffeine,1,2,3,3,3,3,2,4,2,1,2,2,4,Coffee A,Coffee A,Coffee A,I primarily work from home,<$20,"('I need the caffeine',)",,No,No,$10-$15,$8-$10,Yes,Less than $20,Yes,Female,Some college or associate's degree,Employed full-time,Married,1,"$150,000 or more"
YZzAAJ,25-34 years old,4,"('At home', 'At a cafe', 'On the go')","('Pour over', 'Espresso', 'Cold brew')",,"('National chain (e.g. Starbucks / Dunkin)', 'Local cafe')",Americano,"('Milk, dairy alternative, or coffee creamer',)","('Half and half',)",,Nutty,Very strong,Dark,Full caffeine,7,2,4,3,4,3,5,3,1,4,1,2,1,Coffee B,Coffee A,Coffee B,I do a mix of both,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,No,$8-$10,$8-$10,No,"More than $1,000",Yes,Female,Bachelor's degree,Student,Single,None,"$75,000 - $99,999"
VZ16Ra,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVvGGZ,25-34 years old,1,"('At home',)","('Espresso',)",,,Latte,"('Milk, dairy alternative, or coffee creamer',)",,,Fruity,Medium,Light,Full caffeine,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrBPVL,45-54 years old,1,"('At home',)","('French press',)",,,Pourover,"('No - just black',)",,,Sweet,Medium,Light,Full caffeine,5,1,5,2,4,2,2,4,3,3,1,3,4,Coffee C,Coffee D,Coffee D,,,,,,,,,,,,,,,,,
9dJK05,25-34 years old,2,"('At home',)","('Espresso',)",,,Latte,"('Milk, dairy alternative, or coffee creamer', 'Flavor syrup')","('Whole milk',)",,Chocolatey,Somewhat strong,Medium,Full caffeine,6,1,5,1,3,2,5,3,3,3,4,4,3,Coffee C,Coffee D,Coffee C,I primarily work from home,$20-$40,"('It tastes good', 'I need the ritual', 'I need the caffeine', 'It makes me go to the bathroom')",,Yes,Yes,$8-$10,More than $20,No,$300-$500,Yes,Male,Bachelor's degree,Employed full-time,Single,None,"$75,000 - $99,999"
24x6G9,25-34 years old,1,"('At home', 'At a cafe')","('Cold brew', 'Espresso')",,,Cold brew,"('Milk, dairy alternative, or coffee creamer', 'No - just black')","('Almond milk',)",,Floral,Somewhat strong,Blonde,Full caffeine,5,4,3,4,2,4,3,3,3,1,2,3,1,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$10-$15,$10-$15,Yes,$500-$1000,Yes,Female,Bachelor's degree,Homemaker,Married,2,"$150,000 or more"
rlrZQ2,25-34 years old,Less than 1,"('At home', 'At the office')","('Coffee brewing machine (e.g. Mr. Coffee)',)",,,Iced coffee,"('Milk, dairy alternative, or coffee creamer',)","('Coffee creamer', 'Flavored coffee creamer')",,Chocolatey,Medium,Medium,Half caff,1,2,3,3,2,3,5,2,2,4,1,4,2,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,"('It tastes good', 'I need the caffeine')",,Yes,No,$4-$6,$6-$8,No,Less than $20,,Female,Some college or associate's degree,Student,Single,None,"$100,000 - $149,999"
YZzA1B,25-34 years old,2,"('At a cafe', 'At home', 'At the office')","('Pour over', 'Espresso')",,,Latte,"('No - just black',)",,,Chocolatey,Somewhat strong,Medium,Full caffeine,8,2,2,5,1,3,3,4,2,2,4,3,2,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,No,Male,Bachelor's degree,Employed full-time,Single,None,"$75,000 - $99,999"
xdNW7d,25-34 years old,1,"('At home', 'At the office', 'On the go')","('Espresso', 'Pour over')",,"('National chain (e.g. Starbucks / Dunkin)', 'Specialty coffee shop', 'Local cafe')",Iced coffee,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener')","('Whole milk', 'Half and half')","('Granulated Sugar',)",Full Bodied,Somewhat strong,Medium,Full caffeine,8,3,2,1,2,2,3,4,3,2,1,4,4,Coffee B,Coffee D,Coffee D,I do a mix of both,$40-$60,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$4-$6,$6-$8,Yes,"More than $1,000",Yes,Male,Master's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
ylqaBg,25-34 years old,Less than 1,"('At home', 'At a cafe')","('Pour over', 'Espresso')",,,Americano,"('No - just black',)",,,Fruity,Medium,Light,Full caffeine,6,1,4,5,3,3,3,1,2,2,2,5,4,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,$8-$10,No,$50-$100,Yes,Female,Bachelor's degree,Unemployed,Living with a partner,None,"$150,000 or more"
jB9V84,25-34 years old,1,"('At home', 'At the office', 'At a cafe')","('Pour over', 'Espresso')",,,Cortado,"('No - just black',)",,,Bright,Medium,Light,Full caffeine,7,1,4,4,3,2,3,3,1,3,4,3,3,Coffee A,Coffee A,Coffee A,I do a mix of both,$60-$80,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,Master's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
vNx95D,35-44 years old,2,"('At home',)","('Pour over', 'Espresso')",,,Cortado,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Oat milk',)",,Caramalized,Medium,Medium,Full caffeine,5,1,5,4,3,3,2,3,2,3,1,4,2,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"('It tastes good', 'I need the ritual')",,Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",Yes,Female,,,Married,,
LdM22p,18-24 years old,2,"('At home', 'At a cafe')","('Pour over', 'Other')",clever dripper,,Iced coffee,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Whole milk',)",,Juicy,Somewhat strong,Light,Full caffeine,8,2,4,4,2,2,3,4,1,2,2,5,5,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"('It tastes good',)",,Yes,Yes,$6-$8,$6-$8,Yes,$500-$1000,Yes,Female,Some college or associate's degree,Student,Single,None,"Under $25,000"
NABZ2j,25-34 years old,Less than 1,"('At home',)","('Espresso', 'Other')",Aeropress,,Cappuccino,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Oat milk',)",,Caramalized,Medium,Light,Half caff,2,1,5,5,4,2,4,5,4,2,2,4,4,Coffee A,Coffee A,Coffee A,I primarily work in person,<$20,"('It tastes good', 'I need the ritual')",,Yes,Yes,$8-$10,$8-$10,No,Less than $20,Yes,Female,Bachelor's degree,Employed full-time,Living with a partner,None,"$50,000 - $74,999"
RzB9yj,45-54 years old,2,"('At home',)","('Coffee extract (e.g. Cometeer)', 'French press')",,,Latte,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Whole milk',)",,Chocolatey,Medium,Light,Full caffeine,6,3,4,3,3,3,5,3,3,3,2,4,1,Coffee B,Coffee A,Coffee B,I do a mix of both,$80-$100,"('It tastes good', 'I need the ritual')",,Yes,Yes,$6-$8,$4-$6,Yes,$50-$100,Yes,Male,Master's degree,Employed full-time,Married,2,"$150,000 or more"
qbElqg,25-34 years old,2,"('At home',)","('Pour over', 'French press', 'Other')",Aeropress,,Pourover,"('No - just black',)",,,Fruity,Somewhat light,Light,Full caffeine,5,3,3,5,4,2,4,2,3,3,1,5,3,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual', 'Other')",Cultural connection to partner,Yes,No,$6-$8,$8-$10,No,$100-$300,Yes,Other (please specify),Bachelor's degree,Employed full-time,Living with a partner,None,"$100,000 - $149,999"
GrBPPk,25-34 years old,1,"('At home',)","('Espresso',)",,,Latte,"('Milk, dairy alternative, or coffee creamer', 'No - just black')","('Whole milk', 'Half and half')",,Sweet,Medium,Medium,Full caffeine,4,1,5,1,3,2,3,2,3,3,2,4,1,Coffee B,Coffee A,Coffee B,I primarily work in person,<$20,"('It tastes good', 'I need the caffeine')",,Yes,No,$4-$6,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Married,None,"$25,000 - $49,999"
DVvGQq,35-44 years old,2,"('At home',)","('Espresso',)",,,Americano,,,,Fruity,Somewhat strong,Light,Full caffeine,8,2,3,4,2,2,4,4,1,2,1,4,5,Coffee A,Coffee D,Coffee C,,,,,,,,,,,,,,,,,
EPbOpX,18-24 years old,2,"('At home',)","('Pour over', 'Other')",Aeropress,,Pourover,"('No - just black',)",,,Floral,Medium,Light,Full caffeine,8,2,4,5,3,3,4,4,2,2,1,5,3,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$8-$10,More than $20,No,$50-$100,Yes,Male,Bachelor's degree,Student,Single,None,"$25,000 - $49,999"
6dQBgk,25-34 years old,1,"('At home',)","('Pour over', 'Other', 'French press')",Aeropress,,Cappuccino,"('No - just black',)",,,Fruity,Medium,Light,Full caffeine,5,1,5,5,3,2,3,4,1,2,1,4,4,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"('I need the ritual', 'I need the caffeine', 'It tastes good')",,Yes,Yes,$4-$6,$6-$8,Yes,$100-$300,Yes,Female,Bachelor's degree,Employed full-time,Single,None,"$25,000 - $49,999"
VZ16Wy,25-34 years old,Less than 1,"('At home', 'On the go', 'At a cafe')","('Espresso',)",,"('National chain (e.g. Starbucks / Dunkin)', 'Local cafe', 'Specialty coffee shop', 'Drive-thru')",Latte,"('Milk, dairy alternative, or coffee creamer', 'Flavor syrup')","('Oat milk',)",,Caramalized,Somewhat light,Medium,Decaf,3,2,4,4,4,1,2,2,3,5,3,2,3,Coffee C,Coffee D,Coffee C,I primarily work from home,$20-$40,"('It tastes good',)",,Yes,No,$8-$10,$8-$10,No,$100-$300,Yes,Female,Bachelor's degree,Homemaker,Married,2,"$100,000 - $149,999"
GrBP8o,<18 years old,1,"('At a cafe', 'At home')","('Pour over', 'Other')",Aeropress,,Pourover,"('No - just black',)",,,Floral,Somewhat light,Light,Full caffeine,6,1,5,5,4,2,2,5,1,3,1,4,5,Coffee A,Coffee A,Coffee A,,$20-$40,"('It tastes good',)",,Yes,Yes,$6-$8,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,Student,Single,None,"$50,000 - $74,999"
MAdxWM,25-34 years old,2,"('At a cafe', 'At home')","('Coffee brewing machine (e.g. Mr. Coffee)',)",,,Regular drip coffee,"('Milk, dairy alternative, or coffee creamer',)","('Half and half',)",,Juicy,Medium,Medium,Full caffeine,1,3,4,4,4,3,3,2,4,2,2,3,3,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"('It tastes good', 'I need the ritual')",,Yes,No,$8-$10,$8-$10,Yes,Less than $20,Yes,Male,Bachelor's degree,Unemployed,Single,None,"$100,000 - $149,999"
J2k4Po,25-34 years old,2,"('At home', 'At a cafe')","('Pour over', 'Espresso', 'Cold brew')",,,Espresso,"('No - just black',)",,,Juicy,Medium,Light,Full caffeine,7,2,4,3,3,3,2,4,1,1,1,4,4,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"('It tastes good', 'I need the ritual')",,Yes,Yes,$15-$20,$15-$20,No,$500-$1000,Yes,Male,Bachelor's degree,Employed full-time,Single,None,"$50,000 - $74,999"
GrBP2o,18-24 years old,Less than 1,"('None of these',)",,,,Other,"('No - just black',)",,,Fruity,,Blonde,Decaf,1,2,2,3,3,3,2,2,3,3,1,4,4,Coffee C,Coffee D,Coffee B,I primarily work in person,<$20,"('It makes me go to the bathroom',)",,No,No,,,,,,Female,,,Single,,
1r2a1W,18-24 years old,2,"('At home', 'At a cafe')","('Pour over',)",,,Pourover,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,6,2,4,4,4,1,1,3,3,3,1,5,5,Coffee A,Coffee D,Coffee D,I primarily work in person,$60-$80,"('It tastes good',)",,Yes,Yes,$8-$10,$15-$20,Yes,$100-$300,Yes,Male,Master's degree,Student,Married,None,"Under $25,000"
AlbXXz,25-34 years old,1,"('At home',)","('Pour over', 'Espresso')",,,Pourover,"('No - just black',)",,,Fruity,Medium,Blonde,Full caffeine,4,3,3,2,3,2,3,4,3,3,3,5,4,Coffee C,Coffee D,Coffee D,I do a mix of both,$40-$60,"('It tastes good', 'I need the ritual')",,Yes,Yes,$8-$10,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Single,None,"$75,000 - $99,999"
lNlExk,35-44 years old,4,"('At home', 'At the office')","('Pour over', 'Other')",Siphon,,Pourover,"('No - just black',)",,,Full Bodied,Somewhat strong,Medium,Full caffeine,6,4,4,2,3,2,5,1,2,3,3,4,3,Coffee B,Coffee D,Coffee B,I do a mix of both,$40-$60,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$15-$20,More than $20,Yes,$100-$300,Yes,Male,Doctorate or professional degree,Employed full-time,Married,1,"$150,000 or more"
EPbRko,55-64 years old,2,"('At home',)","('Instant coffee',)",,,Cortado,"('No - just black', 'Sugar or sweetener')",,"('Stevia',)",Bold,Very strong,Medium,Full caffeine,5,2,4,3,5,1,4,4,2,2,1,5,1,Coffee B,Coffee A,Coffee B,,,,,,,,,,,,,,,,,
g5NoBl,18-24 years old,1,"('At a cafe', 'At home')","('Pour over', 'Espresso')",,,Latte,"('Flavor syrup',)",,,Fruity,Somewhat light,Light,Full caffeine,6,2,4,3,4,1,2,3,1,2,1,5,4,Coffee A,Coffee D,Coffee D,I primarily work in person,>$100,"('I need the caffeine', 'It tastes good')",,Yes,Yes,$6-$8,$6-$8,Yes,$100-$300,Yes,Female,Master's degree,Employed part-time,Married,None,"$25,000 - $49,999"
LdM2A1,25-34 years old,2,"('At home',)","('Coffee brewing machine (e.g. Mr. Coffee)', 'Cold brew')",,,Latte,"('Milk, dairy alternative, or coffee creamer',)","('Flavored coffee creamer',)",,Sweet,Somewhat strong,Medium,Full caffeine,2,3,5,1,3,2,3,3,3,4,2,4,2,Coffee C,Coffee D,Coffee C,I primarily work from home,>$100,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,No,$6-$8,$8-$10,Yes,$50-$100,Yes,Male,Doctorate or professional degree,Employed full-time,Married,None,"$100,000 - $149,999"
24x6QL,18-24 years old,1,"('On the go', 'At a cafe')",,,"('Drive-thru', 'National chain (e.g. Starbucks / Dunkin)', 'Local cafe')",Latte,"('No - just black',)",,,Fruity,Medium,Medium,Half caff,3,2,3,3,2,2,4,4,2,2,1,2,5,Coffee A,Coffee D,Coffee C,I primarily work in person,$20-$40,"('It tastes good',)",,Yes,Yes,$8-$10,$10-$15,No,Less than $20,No,Female,Bachelor's degree,Employed part-time,Single,None,"Under $25,000"
bl4pZ2,25-34 years old,1,"('At home',)","('Espresso',)",,,Other,"('Milk, dairy alternative, or coffee creamer',)","('Almond milk',)",,Bold,Very strong,Medium,Full caffeine,7,1,2,1,1,1,1,3,2,2,2,3,3,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"('It tastes good', 'I need the ritual', 'I need the caffeine')",,Yes,Yes,$6-$8,$6-$8,No,"More than $1,000",Yes,Female,Bachelor's degree,Employed full-time,Married,None,"$150,000 or more"
oAVj4V,25-34 years old,1,"('At home', 'At a cafe')","('Coffee extract (e.g. Cometeer)', 'Espresso', 'Pour over')",,,Mocha,"('Milk, dairy alternative, or coffee creamer',)","('Whole milk',)",,Fruity,Medium,Blonde,Decaf,7,2,2,4,3,3,3,4,3,2,1,3,5,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,"('I need the ritual', 'It tastes good')",,Yes,No,$6-$8,$6-$8,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Employed full-time,Living with a partner,None,"$150,000 or more"
QABQ6p,18-24 years old,2,"('At a cafe', 'At home', 'On the go')","('Other',)",Aeropress,"('Specialty coffee shop',)",Regular drip coffee,"('No - just black',)",,,Fruity,Medium,Light,Full caffeine,7,2,5,4,3,3,2,3,2,2,2,4,4,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,$8-$10,Yes,$300-$500,Yes,Male,Some college or associate's degree,Employed part-time,Single,None,"Under $25,000"
XeBbbY,25-34 years old,3,"('At home', 'At the office', 'On the go')","('French press',)",,"('Specialty coffee shop', 'Local cafe', 'National chain (e.g. Starbucks / Dunkin)', 'Drive-thru')",Latte,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener')","('Half and half', 'Whole milk', 'Oat milk')","('Raw Sugar (Turbinado)',)",Full Bodied,Very strong,Dark,Full caffeine,3,1,4,4,3,4,1,3,4,4,2,2,3,Coffee C,Coffee D,Coffee D,I primarily work in person,$40-$60,"('It tastes good', 'I need the caffeine')",,Yes,Yes,$8-$10,$8-$10,Yes,$20-$50,Yes,Female,Bachelor's degree,Employed full-time,Single,None,"$50,000 - $74,999"
KMBjKV,35-44 years old,3,"('At a cafe', 'At the office', 'On the go', 'At home')","('Pour over', 'Espresso', 'Coffee brewing machine (e.g. Mr. Coffee)')",,"('Local cafe', 'Specialty coffee shop')",Espresso,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Whole milk',)",,Fruity,Somewhat strong,Medium,Full caffeine,5,2,3,2,4,2,5,3,2,4,4,4,3,Coffee B,Coffee A,Coffee B,I primarily work in person,,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$15-$20,More than $20,Yes,"More than $1,000",Yes,Male,Master's degree,Employed full-time,Married,None,"$150,000 or more"
24x62j,18-24 years old,1,"('At home', 'At the office')","('Pour over', 'Cold brew')",,,Latte,"('No - just black',)",,,Fruity,Medium,Medium,Full caffeine,4,2,3,4,3,2,4,2,4,3,3,4,3,Coffee A,Coffee A,Coffee A,I do a mix of both,<$20,"('I need the caffeine',)",,Yes,No,$4-$6,$6-$8,No,Less than $20,Yes,Female,Bachelor's degree,Employed full-time,Single,None,"$50,000 - $74,999"
oAVjrV,25-34 years old,1,"('At home',)","('Pod/capsule machine (e.g. Keurig/Nespresso)',)",,,Mocha,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener')","('Half and half',)","('Granulated Sugar',)",Nutty,Medium,Light,Decaf,5,2,4,1,3,3,3,3,3,4,2,5,1,Coffee C,Coffee A,Coffee C,,<$20,"('I need the ritual', 'It tastes good')",,Yes,No,$6-$8,$6-$8,Yes,Less than $20,Yes,Female,Some college or associate's degree,Student,Single,None,
aBrMWv,25-34 years old,2,"('At the office', 'At home')","('Pour over', 'Other')",moka pot,,Pourover,"('No - just black',)",,,Caramalized,Somewhat strong,Medium,Full caffeine,7,2,1,5,3,1,2,3,2,2,2,4,3,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,"('It tastes good', 'I need the caffeine', 'I need the ritual')",,Yes,Yes,$6-$8,$6-$8,Yes,$100-$300,Yes,Male,Bachelor's degree,Employed full-time,Married,1,"$100,000 - $149,999"
